X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
31.754747,120.83089,-50.205708,36.80118,-21.94894,22.508698,-12.286805,-9.572624,2.606814,-10.659645,7.89638,22.942429,-13.84511,-31.965824,-2.824614,15.103702,11.243944,-7.567056,1.6561929,0.8372894,-11.119523,-14.041941,2.9706979,-4.3038363,3.446772,-4.328664,-9.1064625,8.838308,-6.803375,-2.957176,0.7801168,-12.206554,1.8460598,-0.36362043,1.6822597,0.2509231,5.1388884,-0.23672596,-2.025371,0.2381083,-3.6968775,3.789466,1.9079595,-8.565618,-11.444067,6.9719386,8.225516,-2.1271625,-14.22167,3.4780626,8.890931,-0.46871215
-27.879995,60.54574,-6.892057,-27.947357,2.8920865,6.360938,15.002466,13.398236,-6.0890164,-4.1739693,-6.4056005,21.948849,-17.343231,-6.7598314,-23.793455,-20.083149,15.448473,-26.389332,-0.38832086,-7.8902116,4.8606896,4.5643897,3.3610482,-0.044105817,1.939549,5.972711,-1.7740558,2.819955,-2.420195,-5.634006,-7.499274,7.6650925,3.4096186,0.5059481,-4.7693896,1.5297307,1.4947242,7.6933017,-5.6578717,1.2284727,-5.363392,-2.5034125,5.5789924,-4.25737,6.7132273,9.674967,-2.1953301,-1.4863019,2.0706525,-2.0310674,12.092561,1.5809102
-22.602417,23.394794,4.5267334,-5.742098,-1.7074986,-1.6026881,8.397648,8.87769,1.26612,-3.7988489,-4.1304426,6.102473,0.64160466,9.871109,-2.2058783,-8.653143,4.557359,-6.305436,3.266644,-11.048892,3.3640695,8.722929,1.9801365,8.862511,-0.61181694,4.435542,5.251711,-7.967146,-3.5889342,-6.605515,5.861206,-5.6431327,3.433123,-4.3648067,-3.276469,0.717048,-6.502561,-0.6545907,1.922282,-4.7100463,1.6156259,2.5756066,0.027501136,-2.5826077,5.8760443,2.030066,-8.033385,1.0570512,0.9064348,-0.20114139,12.494329,1.9506326
56.549957,-6.4371533,24.20686,-9.305788,52.216892,-34.420116,-4.619948,4.559254,4.5168247,0.56751466,-1.6848772,-7.716064,-0.9910536,1.3747442,13.473264,-1.5800798,-7.2075777,-0.26425827,0.6655547,-1.1789925,2.8364007,2.9837296,2.4922922,7.3795967,17.482782,5.5357966,-7.2355633,-2.435522,-2.1259391,3.2937276,17.373833,1.2764894,-4.108572,9.789738,0.11029798,5.4620605,-0.5683681,-8.0596695,5.0091085,-10.383794,2.2198522,-5.024471,5.8688426,9.554999,-5.3639674,-0.2898428,3.9856231,-0.642519,9.532715,-4.616118,-2.8515067,6.835903
-71.55093,-22.025627,42.373184,-34.661194,50.578808,7.832006,15.57433,3.121993,10.568655,-0.38346696,2.6416185,-4.854071,0.5988051,-0.27861795,-2.3666987,-1.9357954,-0.89058036,4.4776664,9.167243,-0.2936755,-2.623183,-1.6616561,-0.4490239,-1.8422996,1.1899012,-1.1334529,-9.491817,4.1581583,-1.2130289,-13.066655,1.0821581,14.458022,-5.682313,-0.71682864,-4.3433757,-6.017701,3.1059437,4.814835,-0.29117203,1.7467914,-3.8094342,-0.98002714,1.9566773,-4.3920665,-2.0850818,0.688858,-1.2566766,-0.70415485,1.4365342,1.8511984,13.051947,5.6329236
-69.551735,-56.020218,-10.137851,-6.2995257,-2.369303,10.083845,2.9615977,6.5637307,4.6492486,3.356764,-5.7151356,-3.1587813,-0.7664413,-1.6067027,-0.77198386,-3.2290912,2.7647045,0.57176334,7.0455384,0.94051343,1.0953131,2.3402507,2.7515671,-6.721303,-2.6449475,-3.8150353,-2.6594772,-1.593752,-0.15675162,2.0401158,2.2992787,1.9447433,1.9311403,1.497283,2.8764002,0.87836754,-2.3691964,-0.893619,1.915196,-1.5003146,1.2920606,-5.958293,0.95754915,-2.9515269,1.7081504,1.799128,0.28364572,0.14896184,-1.5761628,-0.32157493,10.339998,8.055796
2.4351342,-88.40819,-22.75964,4.8202934,-17.289766,-8.596531,7.9766593,-4.9974995,-1.565818,8.984724,8.64654,-8.26198,0.8583469,3.2908502,1.6133107,5.9901004,3.2326033,-3.519081,-4.812303,3.0652955,-1.9220976,1.7450672,9.469416,-1.2265909,0.022140702,-0.9628137,0.880618,3.889467,5.305157,6.9704175,-1.5212941,-1.0259991,1.2049384,-0.78172517,5.8632193,-1.1704674,-2.6019595,0.3690095,-3.916847,5.6030946,-3.7147415,3.9365947,0.325986,5.3440347,2.6936495,5.70115,8.705469,2.4748678,-0.5329259,-4.902469,1.6199355,7.3614907
-53.451168,-58.65078,2.9455674,21.030773,-9.011087,0.50325346,2.3837752,2.0517564,5.8572474,10.025646,-5.426613,-3.8004582,-4.862049,-0.21009651,3.5260212,1.0270928,-5.3507066,-6.313806,1.385045,-1.4239657,-7.9260745,-4.083662,1.1883402,-0.9117842,-7.2468,4.082184,-0.11429998,-2.6011932,0.49509633,-0.66090584,1.1941077,-5.132463,-0.4235249,1.194584,-2.5435047,4.3191595,2.8932877,0.057791356,-1.0268114,-3.046987,-0.45301458,-3.2696183,1.9681419,-1.3000112,3.3404086,0.79906774,-4.7869787,0.1962837,-4.366784,1.8378701,11.637032,9.515477
193.98694,-15.915046,-34.01553,-4.3218155,-16.011187,6.0217857,-6.332631,-8.330744,8.581833,-24.576855,-7.7292023,-3.841242,-11.163513,-8.53166,7.4523344,12.469499,-18.289036,-5.0524254,6.480467,-17.491928,38.110226,-11.060122,-2.4665036,-7.2339644,-0.95172703,3.811701,-4.6846085,0.08196046,-2.6380858,-3.2356236,-8.656524,6.981638,3.9822435,6.6490574,-3.2750838,1.873025,-10.853805,-7.8403482,3.4449298,-6.348242,-1.15218,9.958438,0.9938478,0.17306991,12.540986,-1.2643683,-8.40389,-4.733034,-2.577934,1.2465965,-2.989565,4.744844
1.5088953,60.08821,11.833285,9.483081,-20.119896,-11.621704,10.383537,9.976238,-28.728365,-7.9380474,13.014792,-1.0314187,0.86949855,2.3269303,1.4614904,-3.3458555,5.592728,-0.15925197,-6.4427896,0.54454434,-11.757333,-8.317976,-4.3141637,-2.3734827,2.896242,2.7388413,7.799658,-5.451458,3.0598185,4.2210765,-3.4187021,6.023035,-10.4542885,-17.555382,-0.04738517,28.671871,3.5402849,-11.967586,6.867216,-10.993947,2.3531165,-6.6243453,8.564686,0.5977469,-3.4144554,6.8718534,13.844999,2.8535376,3.6275723,3.6793869,9.659693,1.2940652
